cost_center,ccs,address,city,latitude,longitude,franchise,franchise_brand,display_brand,op_status,division_name,tactic_division_name,distance,country,url,services
6002011,0,95 MAIN STREET,FREDERICTON,45.9806940,-66.6583850,0,,Couche-Tard,OPEN,quebec,quebec,335.5055186802174,CA,/store-locator/CA/fredericton/95-main-street/6002011,"[{'name': 'gas', 'display_name': 'Gas', 'icon': 'gas'}, {'name': 'diesel', 'display_name': 'Diesel', 'icon': 'diesel'}, {'name': 'public_restrooms', 'display_name': 'Public Restrooms', 'icon': 'public_restrooms'}, {'name': 'coffee', 'display_name': 'Coffee', 'icon': 'coffee'}, {'name': 'froster', 'display_name': 'Froster', 'icon': 'froster'}, {'name': 'sloche', 'display_name': 'Sloche', 'icon': 'sloche'}, {'name': 'hotdog', 'display_name': 'Hotdog', 'icon': 'hotdog'}]"
6002007,0,181 KING STREET,FREDERICTON,45.9643330,-66.6488450,0,,Couche-Tard,OPEN,quebec,quebec,335.94911757447295,CA,/store-locator/CA/fredericton/181-king-street/6002007,"[{'name': 'gas', 'display_name': 'Gas', 'icon': 'gas'}, {'name': 'diesel', 'display_name': 'Diesel', 'icon': 'diesel'}, {'name': 'public_restrooms', 'display_name': 'Public Restrooms', 'icon': 'public_restrooms'}, {'name': 'coffee', 'display_name': 'Coffee', 'icon': 'coffee'}, {'name': 'froster', 'display_name': 'Froster', 'icon': 'froster'}, {'name': 'sloche', 'display_name': 'Sloche', 'icon': 'sloche'}, {'name': 'hotdog', 'display_name': 'Hotdog', 'icon': 'hotdog'}]"
6002538,0,623 UNION STREET,FREDERICTON,45.9676130,-66.6289540,0,,Couche-Tard,OPEN,quebec,quebec,336.9022003037177,CA,/store-locator/CA/fredericton/623-union-street/6002538,"[{'name': 'gas', 'display_name': 'Gas', 'icon': 'gas'}, {'name': 'diesel', 'display_name': 'Diesel', 'icon': 'diesel'}, {'name': 'public_restrooms', 'display_name': 'Public Restrooms', 'icon': 'public_restrooms'}, {'name': 'coffee', 'display_name': 'Coffee', 'icon': 'coffee'}, {'name': 'froster', 'display_name': 'Froster', 'icon': 'froster'}, {'name': 'sloche', 'display_name': 'Sloche', 'icon': 'sloche'}]"
6002008,0,536 RIVERSIDE DRIVE,FREDERICTON,45.9390600,-66.6118720,0,,Couche-Tard,OPEN,quebec,quebec,337.707169770774,CA,/store-locator/CA/fredericton/536-riverside-drive/6002008,"[{'name': 'gas', 'display_name': 'Gas', 'icon': 'gas'}, {'name': 'diesel', 'display_name': 'Diesel', 'icon': 'diesel'}, {'name': 'public_restrooms', 'display_name': 'Public Restrooms', 'icon': 'public_restrooms'}, {'name': 'coffee', 'display_name': 'Coffee', 'icon': 'coffee'}, {'name': 'froster', 'display_name': 'Froster', 'icon': 'froster'}, {'name': 'sloche', 'display_name': 'Sloche', 'icon': 'sloche'}, {'name': 'hotdog', 'display_name': 'Hotdog', 'icon': 'hotdog'}]"
6002010,0,253 CANADA STREET,FREDERICTON,45.9792330,-66.5932370,0,,Couche-Tard,OPEN,quebec,quebec,338.61745933342786,CA,/store-locator/CA/fredericton/253-canada-street/6002010,"[{'name': 'gas', 'display_name': 'Gas', 'icon': 'gas'}, {'name': 'diesel', 'display_name': 'Diesel', 'icon': 'diesel'}, {'name': 'public_restrooms', 'display_name': 'Public Restrooms', 'icon': 'public_restrooms'}, {'name': 'coffee', 'display_name': 'Coffee', 'icon': 'coffee'}, {'name': 'froster', 'display_name': 'Froster', 'icon': 'froster'}, {'name': 'sloche', 'display_name': 'Sloche', 'icon': 'sloche'}]"
6002012,0,415 NEVERS ROAD,RUSAGONIS-WAASIS,45.8509860,-66.5611950,0,,Couche-Tard,OPEN,quebec,quebec,340.17662926117,CA,/store-locator/CA/rusagonis-waasis/415-nevers-road/6002012,"[{'name': 'gas', 'display_name': 'Gas', 'icon': 'gas'}, {'name': 'diesel', 'display_name': 'Diesel', 'icon': 'diesel'}, {'name': 'public_restrooms', 'display_name': 'Public Restrooms', 'icon': 'public_restrooms'}, {'name': 'coffee', 'display_name': 'Coffee', 'icon': 'coffee'}, {'name': 'froster', 'display_name': 'Froster', 'icon': 'froster'}, {'name': 'sloche', 'display_name': 'Sloche', 'icon': 'sloche'}, {'name': 'hotdog', 'display_name': 'Hotdog', 'icon': 'hotdog'}]"
6002129,0,6138 ROUTE 8,BOIESTOWN,46.4564440,-66.4175950,0,,Couche-Tard,OPEN,quebec,quebec,348.7778918812118,CA,/store-locator/CA/boiestown/6138-route-8/6002129,"[{'name': 'gas', 'display_name': 'Gas', 'icon': 'gas'}, {'name': 'diesel', 'display_name': 'Diesel', 'icon': 'diesel'}, {'name': 'public_restrooms', 'display_name': 'Public Restrooms', 'icon': 'public_restrooms'}, {'name': 'coffee', 'display_name': 'Coffee', 'icon': 'coffee'}, {'name': 'froster', 'display_name': 'Froster', 'icon': 'froster'}, {'name': 'sloche', 'display_name': 'Sloche', 'icon': 'sloche'}]"
6000948,0,2929 BOUL. LAFLECHE,BAIE-COMEAU,49.1921400,-68.3020480,0,,Couche-Tard,OPEN,quebec,quebec,350.2284953237091,CA,/store-locator/CA/baie-comeau/2929-boul-lafleche/6000948,"[{'name': 'gas', 'display_name': 'Gas', 'icon': 'gas'}, {'name': 'diesel', 'display_name': 'Diesel', 'icon': 'diesel'}, {'name': 'public_restrooms', 'display_name': 'Public Restrooms', 'icon': 'public_restrooms'}, {'name': 'coffee', 'display_name': 'Coffee', 'icon': 'coffee'}, {'name': 'froster', 'display_name': 'Froster', 'icon': 'froster'}, {'name': 'sloche', 'display_name': 'Sloche', 'icon': 'sloche'}, {'name': 'fresh_food_fast', 'display_name': 'Fresh Food Fast', 'icon': 'food'}, {'name': 'pastries', 'display_name': 'Pastries', 'icon': 'pastries'}, {'name': 'hotdog', 'display_name': 'Hotdog', 'icon': 'hotdog'}]"
6002046,0,707 EAGLE ROCK RD,WELSFORD,45.4554660,-66.3418340,0,,Couche-Tard,OPEN,quebec,quebec,352.3465427509033,CA,/store-locator/CA/welsford/707-eagle-rock-rd/6002046,"[{'name': 'gas', 'display_name': 'Gas', 'icon': 'gas'}, {'name': 'diesel', 'display_name': 'Diesel', 'icon': 'diesel'}, {'name': 'public_restrooms', 'display_name': 'Public Restrooms', 'icon': 'public_restrooms'}, {'name': 'coffee', 'display_name': 'Coffee', 'icon': 'coffee'}, {'name': 'froster', 'display_name': 'Froster', 'icon': 'froster'}, {'name': 'sloche', 'display_name': 'Sloche', 'icon': 'sloche'}, {'name': 'hotdog', 'display_name': 'Hotdog', 'icon': 'hotdog'}]"
6000947,0,193 BOUL. LASALLE,BAIE-COMEAU,49.2176700,-68.1663010,0,,Couche-Tard,OPEN,quebec,quebec,355.6382439967465,CA,/store-locator/CA/baie-comeau/193-boul-lasalle/6000947,"[{'name': 'gas', 'display_name': 'Gas', 'icon': 'gas'}, {'name': 'diesel', 'display_name': 'Diesel', 'icon': 'diesel'}, {'name': 'public_restrooms', 'display_name': 'Public Restrooms', 'icon': 'public_restrooms'}, {'name': 'coffee', 'display_name': 'Coffee', 'icon': 'coffee'}, {'name': 'froster', 'display_name': 'Froster', 'icon': 'froster'}, {'name': 'sloche', 'display_name': 'Sloche', 'icon': 'sloche'}]"
